    Group1    Group2    LowerCI    MeanDifference    UpperCI      PValue  
    ______    ______    _______    ______________    _______    __________

      1         2       -5.7662         -3.999       -2.2317    4.7437e-10
      1         3       -5.7657        -4.0178       -2.2698    2.2511e-10
      1         4       -6.7292        -4.8722       -3.0153    1.2498e-13
      1         5       -6.7969        -4.8855       -2.9742    6.6475e-13
      1         6       -6.1337        -4.4531       -2.7726    6.4743e-14
      1         7       -6.4564        -4.6892       -2.9219    5.9056e-14
      2         3       -2.0178      -0.018793        1.9802             1
      2         4       -2.9682       -0.87326        1.2217       0.88307
      2         5       -3.0299       -0.88655        1.2568       0.88686
      2         6       -2.3945       -0.45416        1.4862       0.99318
      2         7       -2.7061       -0.69018        1.3257       0.95206
      3         4       -2.9332       -0.85447        1.2243       0.88985
      3         5       -2.9952       -0.86775        1.2597       0.89346
      3         6       -2.3582       -0.43537        1.4875       0.99431
      3         7       -2.6704       -0.67139        1.3276       0.95628
      4         5       -2.2312      -0.013289        2.2046             1
      4         6       -1.6033         0.4191        2.4415        0.9965
      4         7       -1.9119        0.18308        2.2781       0.99998
      5         6       -1.6401        0.43239        2.5048       0.99636
      5         7        -1.947        0.19637        2.3397       0.99997
      6         7       -2.1764       -0.23602        1.7043       0.99983
