    Group1    Group2    LowerCI     MeanDifference    UpperCI       PValue  
    ______    ______    ________    ______________    ________    __________

      1         2        -3.2448         -2.3627       -1.4805    2.2113e-12
      1         3        -2.6992          -1.817      -0.93488    1.9085e-07
      1         4        -2.8457         -1.9757       -1.1057    5.6821e-09
      1         5        -2.6941         -1.8241      -0.95405    1.0601e-07
      2         3        -0.4863         0.54565        1.5776       0.60016
      2         4       -0.63462         0.38695        1.4085       0.84002
      2         5       -0.48294         0.53863        1.5602       0.60282
      3         4        -1.1803         -0.1587       0.86288       0.99328
      3         5        -1.0286      -0.0070138        1.0146             1
      4         5       -0.85941         0.15168        1.1628       0.99412
