    Group1    Group2    LowerCI    MeanDifference    UpperCI    PValue 
    ______    ______    _______    ______________    _______    _______

      1         2       -3.0029      -0.047544       2.9078           1
      1         3       -1.6705        0.52117       2.7129     0.98867
      1         4       -2.4025       -0.21074        1.981     0.99993
      1         5       -1.3997        0.28512       1.9699     0.99821
      1         6         -3.19       -0.71744       1.7551     0.96899
      1         7         -3.19       -0.71744       1.7551     0.96899
      2         3        -2.865        0.56872       4.0025     0.99841
      2         4        -3.597        -0.1632       3.2706           1
      2         5       -2.8019        0.33267       3.4672     0.99988
      2         6       -4.2894        -0.6699       2.9496     0.99706
      2         7       -4.2894        -0.6699       2.9496     0.99706
      3         4       -3.5356       -0.73191       2.0717     0.98167
      3         5       -2.6641       -0.23605        2.192     0.99993
      3         6       -4.2669        -1.2386       1.7897     0.85697
      3         7       -4.2669        -1.2386       1.7897     0.85697
      4         5       -1.9322        0.49587       2.9239     0.99496
      4         6        -3.535        -0.5067       2.5216     0.99832
      4         7        -3.535        -0.5067       2.5216     0.99832
      5         6       -3.6869        -1.0026       1.6817     0.90148
      5         7       -3.6869        -1.0026       1.6817     0.90148
      6         7       -3.2374              0       3.2374           1
