    Group1    Group2    LowerCI     MeanDifference    UpperCI     PValue  
    ______    ______    ________    ______________    _______    _________

      1         2        -4.0034        -2.5727        -1.142    0.0002513
      1         3        -3.2529        -1.3603       0.53239      0.23845
      1         4        -2.6628        -1.0632       0.53638      0.30665
      1         5        -2.2321       -0.80133       0.62939      0.46984
      2         3       -0.93363         1.2124        3.3585      0.46149
      2         4       -0.38315         1.5095        3.4022      0.15991
      2         5       0.019121         1.7714        3.5237     0.046761
      3         4        -1.9651        0.29707        2.5592      0.99454
      3         5        -1.5871        0.55894         2.705      0.93364
      4         5        -1.6308        0.26188        2.1545      0.99334
